Iteration,Features,NumberFeatures,Accuracy
41,"[3, 6, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 30, 32, 33, 40, 44, 50, 52, 56, 58, 60]",23,75.06666666666668
42,"[3, 6, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 30, 32, 33, 40, 44, 52, 56, 58, 60]",22,74.86666666666667
43,"[3, 6, 16, 17, 18, 19, 20, 21, 23, 24, 25, 28, 30, 32, 33, 40, 44, 52, 56, 58, 60]",21,75.16666666666667
44,"[3, 6, 16, 17, 18, 19, 20, 21, 23, 24, 25, 28, 30, 32, 33, 40, 44, 52, 56, 60]",20,74.43333333333332
45,"[3, 6, 16, 17, 18, 19, 20, 21, 23, 24, 25, 30, 32, 33, 40, 44, 52, 56, 60]",19,74.3
46,"[3, 6, 16, 18, 19, 20, 21, 23, 24, 25, 30, 32, 33, 40, 44, 52, 56, 60]",18,74.03333333333333
47,"[3, 6, 16, 18, 19, 20, 21, 23, 24, 30, 32, 33, 40, 44, 52, 56, 60]",17,73.36666666666667
48,"[3, 6, 16, 19, 20, 21, 23, 24, 30, 32, 33, 40, 44, 52, 56, 60]",16,73.93333333333332
49,"[3, 6, 16, 20, 21, 23, 24, 30, 32, 33, 40, 44, 52, 56, 60]",15,73.73333333333333
50,"[3, 16, 20, 21, 23, 24, 30, 32, 33, 40, 44, 52, 56, 60]",14,73.93333333333332
51,"[3, 16, 20, 21, 23, 24, 30, 33, 40, 44, 52, 56, 60]",13,73.46666666666667
52,"[3, 16, 20, 21, 23, 24, 30, 40, 44, 52, 56, 60]",12,73.2
53,"[3, 16, 20, 21, 23, 24, 30, 40, 44, 52, 56]",11,73.63333333333333
54,"[3, 16, 20, 21, 23, 24, 30, 40, 44, 56]",10,72.7
55,"[3, 16, 20, 21, 23, 24, 30, 44, 56]",9,73.2
56,"[3, 16, 20, 21, 23, 24, 30, 56]",8,72.46666666666667
57,"[3, 16, 20, 21, 23, 24, 56]",7,72.46666666666667
58,"[16, 20, 21, 23, 24, 56]",6,72.0
59,"[16, 20, 21, 23, 24]",5,71.89999999999999
60,"[16, 20, 23, 24]",4,71.7
61,"[16, 20, 23]",3,71.39999999999999
62,"[16, 23]",2,71.46666666666667
63,[16],1,72.3
